entry_time,exit_time,direction,pattern,entry,sl,tp,exit_price,pnl_points,bars_held,outcome,month
2025-03-14 19:40:00,2025-03-14 23:40:00,-1,bb,2987.72,2992.31,2978.5399999999995,2988.04,-0.6200000000001638,48,EOD,2025-03
2025-03-14 23:45:00,2025-03-17 02:20:00,-1,bb,2987.77,2991.78,2979.7499999999995,2991.78,-4.310000000000218,19,SL,2025-03
2025-03-17 03:20:00,2025-03-17 07:20:00,1,bb,2988.42,2983.33,2998.6000000000004,2984.78,-3.9399999999998725,48,EOD,2025-03
2025-03-17 15:25:00,2025-03-17 19:25:00,1,bb,2993.01,2982.03,3014.9700000000003,2996.64,3.3299999999996546,48,EOD,2025-03
2025-03-17 19:40:00,2025-03-17 23:40:00,1,bb,2994.35,2989.99,3003.07,3001.31,6.660000000000037,48,EOD,2025-03
2025-03-18 03:00:00,2025-03-18 05:45:00,1,bb,3000.75,2996.57,3009.1099999999997,3009.1099999999997,8.059999999999672,33,TP,2025-03
2025-03-18 08:25:00,2025-03-18 09:05:00,1,bb,3007.42,3003.11,3016.04,3016.04,8.31999999999989,8,TP,2025-03
2025-03-18 17:15:00,2025-03-18 19:30:00,1,bb,3026.89,3022.21,3036.2499999999995,3036.2499999999995,9.059999999999672,27,TP,2025-03
2025-03-18 23:45:00,2025-03-19 04:00:00,1,bb,3034.14,3030.33,3041.7599999999998,3030.33,-4.109999999999945,39,SL,2025-03
2025-03-19 10:50:00,2025-03-19 11:10:00,1,bb,3037.23,3032.53,3046.6299999999997,3032.53,-4.999999999999818,4,SL,2025-03
2025-03-19 19:05:00,2025-03-19 19:20:00,-1,bb,3034.49,3038.15,3027.169999999999,3038.15,-3.960000000000309,3,SL,2025-03
2025-03-20 05:00:00,2025-03-20 05:50:00,1,bb,3050.46,3045.32,3060.74,3045.32,-5.4399999999998725,10,SL,2025-03
2025-03-20 06:00:00,2025-03-20 07:45:00,1,bb,3047.08,3041.94,3057.3599999999997,3057.3599999999997,9.979999999999745,21,TP,2025-03
2025-03-20 08:40:00,2025-03-20 10:55:00,1,bb,3046.88,3041.94,3056.76,3041.94,-5.240000000000054,27,SL,2025-03
2025-03-20 12:40:00,2025-03-20 13:10:00,-1,bb,3044.55,3049.27,3035.1100000000006,3035.1100000000006,9.139999999999599,6,TP,2025-03
2025-03-20 15:20:00,2025-03-20 15:40:00,-1,bb,3036.81,3041.04,3028.35,3041.04,-4.530000000000018,4,SL,2025-03
2025-03-20 15:50:00,2025-03-20 16:15:00,-1,bb,3040.66,3045.25,3031.4799999999996,3031.4799999999996,8.88000000000029,5,TP,2025-03
2025-03-20 18:00:00,2025-03-20 21:10:00,-1,bb,3039.14,3043.79,3029.8399999999997,3043.79,-4.950000000000091,38,SL,2025-03
2025-03-21 01:20:00,2025-03-21 04:40:00,1,bb,3044.09,3040.62,3051.0300000000007,3040.62,-3.7700000000002545,40,SL,2025-03
2025-03-21 09:10:00,2025-03-21 13:10:00,-1,bb,3031.0,3035.66,3021.6800000000003,3032.76,-2.060000000000218,48,EOD,2025-03
2025-03-21 20:15:00,2025-03-21 21:40:00,-1,bb,3016.39,3021.18,3006.81,3021.18,-5.089999999999963,17,SL,2025-03
2025-03-21 21:45:00,2025-03-24 01:00:00,-1,bb,3020.05,3024.59,3010.9700000000003,3024.59,-4.839999999999963,27,SL,2025-03
2025-03-24 03:25:00,2025-03-24 03:50:00,1,bb,3022.78,3019.45,3029.440000000001,3019.45,-3.630000000000382,5,SL,2025-03
2025-03-24 03:55:00,2025-03-24 05:45:00,1,bb,3018.52,3014.02,3027.52,3014.02,-4.8,22,SL,2025-03
2025-03-24 07:55:00,2025-03-24 08:25:00,-1,bb,3019.34,3023.03,3011.96,3023.03,-3.9900000000000544,6,SL,2025-03
2025-03-24 15:50:00,2025-03-24 16:45:00,1,bb,3024.57,3019.68,3034.350000000001,3019.68,-5.190000000000327,11,SL,2025-03
2025-03-24 23:25:00,2025-03-25 04:25:00,-1,bb,3011.5,3015.27,3003.96,3012.31,-1.1099999999999455,48,EOD,2025-03
2025-03-25 05:05:00,2025-03-25 08:25:00,1,bb,3010.46,3005.71,3019.96,3019.96,9.2,40,TP,2025-03
2025-03-25 09:50:00,2025-03-25 10:55:00,1,bb,3017.13,3011.76,3027.87,3011.76,-5.669999999999891,13,SL,2025-03
2025-03-25 15:10:00,2025-03-25 16:35:00,1,bb,3018.09,3012.67,3028.9300000000003,3028.9300000000003,10.540000000000145,17,TP,2025-03
2025-03-25 18:20:00,2025-03-25 22:20:00,1,bb,3022.17,3017.76,3030.99,3019.05,-3.4199999999998907,48,EOD,2025-03
2025-03-25 23:50:00,2025-03-26 04:50:00,-1,bb,3019.86,3023.78,3012.02,3023.78,-4.220000000000073,48,SL,2025-03
2025-03-26 11:55:00,2025-03-26 12:15:00,1,bb,3024.01,3020.55,3030.9300000000003,3020.55,-3.760000000000036,4,SL,2025-03
2025-03-26 16:20:00,2025-03-26 16:50:00,1,bb,3023.48,3018.54,3033.36,3018.54,-5.240000000000054,6,SL,2025-03
2025-03-26 19:25:00,2025-03-26 23:25:00,-1,bb,3019.1,3023.02,3011.2599999999998,3019.59,-0.7900000000002365,48,EOD,2025-03
2025-03-26 23:40:00,2025-03-27 03:05:00,-1,bb,3020.34,3024.78,3011.46,3024.78,-4.740000000000054,29,SL,2025-03
2025-03-27 09:00:00,2025-03-27 13:00:00,1,bb,3032.03,3024.84,3046.4100000000003,3041.65,9.31999999999989,48,EOD,2025-03
2025-03-27 15:40:00,2025-03-27 16:15:00,1,bb,3049.63,3044.15,3060.59,3044.15,-5.780000000000018,7,SL,2025-03
2025-03-27 16:25:00,2025-03-27 16:35:00,1,bb,3042.28,3035.3,3056.2400000000002,3035.3,-7.280000000000018,2,SL,2025-03
2025-03-27 19:50:00,2025-03-27 23:50:00,1,bb,3049.78,3044.78,3059.78,3056.79,6.709999999999764,48,EOD,2025-03
2025-03-28 01:15:00,2025-03-28 03:20:00,1,bb,3055.39,3051.84,3062.4899999999993,3062.4899999999993,6.7999999999994545,25,TP,2025-03
2025-03-28 13:45:00,2025-03-28 14:15:00,-1,bb,3073.62,3077.64,3065.58,3077.64,-4.319999999999982,6,SL,2025-03
2025-03-28 16:40:00,2025-03-28 17:35:00,1,bb,3075.78,3068.24,3090.860000000001,3068.24,-7.840000000000418,11,SL,2025-03
2025-03-28 17:40:00,2025-03-28 21:40:00,1,bb,3074.0,3065.09,3091.8199999999997,3075.61,1.3100000000001273,48,EOD,2025-03
2025-03-28 22:00:00,2025-03-31 03:00:00,1,bb,3080.95,3072.51,3097.829999999999,3085.74,4.489999999999964,48,EOD,2025-03
2025-03-31 03:05:00,2025-03-31 03:50:00,1,bb,3086.1,3081.56,3095.18,3081.56,-4.839999999999963,9,SL,2025-03
2025-03-31 04:30:00,2025-03-31 08:30:00,1,bb,3094.67,3075.88,3132.25,3110.74,15.769999999999708,48,EOD,2025-03
2025-03-31 12:25:00,2025-03-31 12:35:00,1,bb,3120.25,3115.92,3128.91,3115.92,-4.629999999999927,2,SL,2025-03
2025-03-31 12:50:00,2025-03-31 13:30:00,1,bb,3113.12,3108.87,3121.62,3121.62,8.2,8,TP,2025-03
2025-03-31 16:10:00,2025-03-31 16:30:00,1,bb,3118.8,3110.84,3134.7200000000003,3110.84,-8.260000000000037,4,SL,2025-03
2025-04-01 01:20:00,2025-04-01 04:00:00,1,bb,3123.14,3118.6,3132.22,3132.22,8.779999999999927,32,TP,2025-04
2025-04-01 08:10:00,2025-04-01 08:50:00,1,bb,3142.63,3138.64,3150.6100000000006,3138.64,-4.290000000000236,8,SL,2025-04
2025-04-01 13:45:00,2025-04-01 17:45:00,-1,bb,3133.38,3140.75,3118.6400000000003,3130.05,3.0299999999999274,48,EOD,2025-04
2025-04-01 21:15:00,2025-04-01 23:30:00,-1,bb,3115.15,3120.09,3105.27,3120.09,-5.240000000000054,27,SL,2025-04
2025-04-01 23:35:00,2025-04-02 01:15:00,-1,bb,3118.51,3123.65,3108.2300000000005,3108.2300000000005,9.979999999999745,8,TP,2025-04
2025-04-02 06:40:00,2025-04-02 07:30:00,1,bb,3127.85,3123.24,3137.07,3123.24,-4.910000000000127,10,SL,2025-04
2025-04-02 07:40:00,2025-04-02 08:00:00,1,bb,3119.47,3115.14,3128.1299999999997,3115.14,-4.629999999999927,4,SL,2025-04
2025-04-02 16:10:00,2025-04-02 16:30:00,-1,bb,3123.91,3129.93,3111.87,3129.93,-6.319999999999982,4,SL,2025-04
