ma_combo,pattern,rr,sl_buf,trades,win_rate,tp_rate,sl_rate,net_pts,avg_trade_pts,profit_factor,max_dd_pts,trades_per_day,p1_share,p2_share,mode,sl_method
ribbon_ema100,P1,1.000,3.000,580,48.793,47.759,47.931,-356.260,-0.614,0.924,619.540,5.774,100.000,0.000,m30_15,swing3m
ribbon_ema55_ema100,P1,1.000,3.000,580,48.793,47.759,47.931,-356.260,-0.614,0.924,619.540,5.774,100.000,0.000,m30_15,swing3m
ribbon_ema55,P1,4.000,3.000,389,25.707,12.339,69.923,-366.160,-0.941,0.912,669.910,3.872,100.000,0.000,m30_15,swing3m
ribbon_ema55,P2,3.000,3.000,248,26.613,19.758,71.371,-367.760,-1.483,0.873,625.360,2.470,0.000,100.000,m30_15,swing3m
ribbon_only,P2,2.000,2.000,265,30.566,28.679,67.547,-386.770,-1.460,0.861,675.910,2.640,0.000,100.000,m30_15,swing3m
ribbon_ema100,P2,2.000,2.000,286,30.769,27.622,67.832,-395.840,-1.384,0.865,591.630,2.849,0.000,100.000,m30_15,swing3m
ribbon_ema55_ema100,P2,2.000,2.000,286,30.769,27.622,67.832,-395.840,-1.384,0.865,591.630,2.849,0.000,100.000,m30_15,swing3m
ribbon_ema55_ema100,P2,1.500,2.000,301,34.884,33.555,63.787,-398.795,-1.325,0.862,502.965,2.998,0.000,100.000,m30_15,swing3m
ribbon_ema100,P2,1.500,2.000,301,34.884,33.555,63.787,-398.795,-1.325,0.862,502.965,2.998,0.000,100.000,m30_15,swing3m
ribbon_ema100,both,3.000,2.000,449,28.285,18.040,69.042,-415.110,-0.925,0.914,706.830,4.470,70.156,29.844,m30_15,swing3m
ribbon_ema55_ema100,both,3.000,2.000,449,28.285,18.040,69.042,-415.110,-0.925,0.914,706.830,4.470,70.156,29.844,m30_15,swing3m
ribbon_ema55_ema100,P2,1.500,3.000,291,35.395,33.677,62.543,-432.490,-1.486,0.855,580.255,2.899,0.000,100.000,m30_15,swing3m
ribbon_ema100,P2,1.500,3.000,291,35.395,33.677,62.543,-432.490,-1.486,0.855,580.255,2.899,0.000,100.000,m30_15,swing3m
ribbon_ema55,P1,4.000,2.000,408,24.510,12.745,71.814,-451.540,-1.107,0.894,681.070,4.061,100.000,0.000,m30_15,swing3m
ribbon_ema55,P2,2.000,2.000,276,30.435,27.899,67.754,-460.020,-1.667,0.840,711.890,2.749,0.000,100.000,m30_15,swing3m
ribbon_only,both,5.000,3.000,406,24.631,11.084,71.429,-461.830,-1.138,0.904,683.290,4.041,77.833,22.167,m30_15,swing3m
ribbon_only,P2,1.500,2.000,282,36.170,35.106,62.766,-461.885,-1.638,0.832,671.525,2.809,0.000,100.000,m30_15,swing3m
ribbon_ema100,P2,2.000,3.000,274,31.022,27.007,66.788,-470.960,-1.719,0.843,667.070,2.729,0.000,100.000,m30_15,swing3m
ribbon_ema55_ema100,P2,2.000,3.000,274,31.022,27.007,66.788,-470.960,-1.719,0.843,667.070,2.729,0.000,100.000,m30_15,swing3m
ribbon_only,P2,1.000,2.000,313,46.006,46.006,53.355,-481.610,-1.539,0.815,606.000,3.118,0.000,100.000,m30_15,swing3m
ribbon_ema55_ema100,P2,1.000,2.000,336,45.238,45.238,53.869,-482.240,-1.435,0.826,557.820,3.347,0.000,100.000,m30_15,swing3m
ribbon_ema100,P2,1.000,2.000,336,45.238,45.238,53.869,-482.240,-1.435,0.826,557.820,3.347,0.000,100.000,m30_15,swing3m
ribbon_ema55,P2,1.500,2.000,296,35.811,34.797,63.176,-486.790,-1.645,0.829,701.405,2.948,0.000,100.000,m30_15,swing3m
ribbon_ema55,P1,1.000,2.000,612,47.712,47.059,49.183,-494.560,-0.808,0.896,666.320,6.092,100.000,0.000,m30_15,swing3m
ribbon_only,P2,2.000,3.000,254,31.102,27.953,66.929,-496.780,-1.956,0.826,757.090,2.530,0.000,100.000,m30_15,swing3m
ribbon_only,both,1.500,3.000,575,38.087,35.478,59.304,-501.415,-0.872,0.914,741.155,5.724,77.565,22.435,m30_15,swing3m
ribbon_only,both,2.000,2.000,543,33.702,28.177,63.904,-503.970,-0.928,0.909,638.610,5.405,76.059,23.941,m30_15,swing3m
ribbon_only,both,5.000,2.000,426,23.239,10.329,73.474,-519.200,-1.219,0.891,701.370,4.241,76.526,23.474,m30_15,swing3m
ribbon_ema100,P2,1.000,3.000,324,44.753,44.753,54.321,-525.560,-1.622,0.818,608.000,3.227,0.000,100.000,m30_15,swing3m
ribbon_ema55_ema100,P2,1.000,3.000,324,44.753,44.753,54.321,-525.560,-1.622,0.818,608.000,3.227,0.000,100.000,m30_15,swing3m
ribbon_only,P2,1.000,3.000,303,45.545,45.545,53.795,-533.160,-1.760,0.804,653.580,3.018,0.000,100.000,m30_15,swing3m
ribbon_ema55,P1,1.000,3.000,591,47.039,46.362,49.746,-545.030,-0.922,0.889,717.680,5.883,100.000,0.000,m30_15,swing3m
ribbon_only,P2,1.500,3.000,273,35.897,34.432,63.004,-549.125,-2.011,0.808,697.060,2.719,0.000,100.000,m30_15,swing3m
ribbon_ema55,both,1.500,2.000,596,38.087,35.906,59.899,-579.515,-0.972,0.900,953.720,5.933,73.993,26.007,m30_15,swing3m
ribbon_only,both,4.000,3.000,420,25.714,13.571,70.000,-592.200,-1.410,0.876,819.170,4.181,78.095,21.905,m30_15,swing3m
ribbon_only,both,3.000,3.000,438,29.224,18.950,66.667,-598.740,-1.367,0.880,869.410,4.360,79.680,20.320,m30_15,swing3m
ribbon_ema55_ema100,both,1.000,3.000,671,47.690,47.243,49.776,-605.360,-0.902,0.895,714.360,6.679,71.684,28.316,m30_15,swing3m
ribbon_ema100,both,1.000,3.000,671,47.690,47.243,49.776,-605.360,-0.902,0.895,714.360,6.679,71.684,28.316,m30_15,swing3m
ribbon_ema100,both,1.000,2.000,700,48.000,47.714,49.857,-620.190,-0.886,0.891,775.690,6.968,71.286,28.714,m30_15,swing3m
ribbon_ema55_ema100,both,1.000,2.000,700,48.000,47.714,49.857,-620.190,-0.886,0.891,775.690,6.968,71.286,28.714,m30_15,swing3m
ribbon_ema55,P1,2.000,3.000,468,34.188,27.350,62.179,-623.040,-1.331,0.873,737.070,4.659,100.000,0.000,m30_15,swing3m
ribbon_only,both,4.000,2.000,442,24.661,13.348,71.719,-635.860,-1.439,0.865,777.170,4.400,76.697,23.303,m30_15,swing3m
ribbon_ema55,P2,2.000,3.000,266,30.451,26.692,68.045,-635.870,-2.390,0.787,896.790,2.650,0.000,100.000,m30_15,swing3m
ribbon_ema55,P2,1.000,2.000,327,44.954,44.954,54.434,-644.560,-1.971,0.767,707.970,3.257,0.000,100.000,m30_15,swing3m
ribbon_ema55,P2,1.500,3.000,287,34.843,33.449,64.111,-650.565,-2.267,0.784,824.925,2.859,0.000,100.000,m30_15,swing3m
ribbon_ema55,P1,2.000,2.000,481,33.264,26.819,63.617,-664.840,-1.382,0.863,813.230,4.788,100.000,0.000,m30_15,swing3m
ribbon_only,both,2.000,3.000,518,33.591,27.992,63.127,-666.640,-1.287,0.882,816.510,5.156,77.799,22.201,m30_15,swing3m
ribbon_ema55,P2,1.000,3.000,317,44.164,44.164,55.205,-728.520,-2.298,0.749,784.670,3.158,0.000,100.000,m30_15,swing3m
ribbon_ema55,both,5.000,3.000,415,23.855,10.602,73.012,-773.850,-1.865,0.847,968.450,4.131,73.253,26.747,m30_15,swing3m
ribbon_ema55,both,1.500,3.000,569,37.786,35.149,59.754,-805.075,-1.415,0.864,1019.650,5.664,75.220,24.780,m30_15,swing3m
ribbon_ema55,both,4.000,3.000,425,24.941,12.706,72.000,-814.180,-1.916,0.836,982.220,4.231,74.118,25.882,m30_15,swing3m
ribbon_ema55,both,5.000,2.000,432,22.222,9.954,74.537,-819.230,-1.896,0.835,1011.380,4.300,72.222,27.778,m30_15,swing3m
ribbon_only,both,3.000,2.000,473,27.484,18.393,69.133,-824.720,-1.744,0.840,978.470,4.708,78.224,21.776,m30_15,swing3m
ribbon_ema55,both,4.000,2.000,445,24.045,13.034,73.034,-843.580,-1.896,0.827,991.880,4.430,72.809,27.191,m30_15,swing3m
ribbon_ema55,both,2.000,2.000,531,33.333,27.495,64.030,-896.420,-1.688,0.840,1059.970,5.286,73.446,26.554,m30_15,swing3m
ribbon_only,both,1.000,3.000,677,46.529,46.086,50.812,-914.340,-1.351,0.847,1003.530,6.739,76.809,23.191,m30_15,swing3m
ribbon_only,both,1.000,2.000,707,46.252,45.969,51.344,-929.880,-1.315,0.842,1017.070,7.038,76.379,23.621,m30_15,swing3m
ribbon_ema55,both,3.000,3.000,451,27.938,18.847,68.736,-959.480,-2.127,0.820,1134.830,4.489,75.831,24.169,m30_15,swing3m
ribbon_ema55,both,3.000,2.000,482,26.971,18.465,70.124,-983.650,-2.041,0.817,1121.780,4.798,75.104,24.896,m30_15,swing3m
ribbon_ema55,both,2.000,3.000,510,33.333,27.255,63.725,-1034.150,-2.028,0.819,1176.920,5.077,75.686,24.314,m30_15,swing3m
ribbon_ema55,both,1.000,3.000,669,45.740,45.291,51.570,-1185.310,-1.772,0.804,1268.720,6.659,74.290,25.710,m30_15,swing3m
ribbon_ema55,both,1.000,2.000,697,45.768,45.481,51.793,-1192.580,-1.711,0.800,1273.990,6.938,74.032,25.968,m30_15,swing3m
