bias,bb,atr_max,ses,rr,trades,wr,net,pf,dd,tpd,losing_months,worst_month,max_consec_loss,n_months
ribbon_only_30M,"BB(30,2.0)",1.5,all,2.000,1773,37.338,-166.490,0.981,661.710,3.447,7,-249.120,14,18
ribbon_only_30M,"BB(30,2.0)",1.5,all,3.000,1723,32.385,-562.880,0.939,831.560,3.350,10,-314.090,22,18
ribbon_only_30M,"BB(30,2.0)",1.5,hot8,1.500,869,41.657,-42.855,0.989,353.980,1.690,9,-154.945,12,18
ribbon_only_30M,"BB(30,2.0)",1.5,hot8,2.000,839,34.684,-226.200,0.947,392.520,1.631,12,-154.330,13,18
ribbon_only_30M,"BB(30,2.0)",1.5,hot8,3.000,818,29.462,-564.760,0.874,783.210,1.590,9,-218.910,14,18
ribbon_only_30M,"BB(30,2.0)",1.5,L+NY,1.500,864,44.676,476.860,1.121,223.815,1.681,5,-167.745,10,18
ribbon_only_30M,"BB(30,2.0)",1.5,L+NY,2.000,824,37.500,180.530,1.044,328.830,1.603,8,-167.130,11,18
ribbon_only_30M,"BB(30,2.0)",1.5,L+NY,3.000,797,31.117,-494.430,0.887,739.870,1.550,9,-162.200,15,18
ribbon_only_30M,"BB(30,2.0)",2.0,all,1.500,2003,43.085,57.135,1.006,688.275,3.894,8,-254.120,12,18
ribbon_only_30M,"BB(30,2.0)",2.0,all,2.000,1914,37.827,-95.270,0.990,835.960,3.721,7,-295.480,13,18
ribbon_only_30M,"BB(30,2.0)",2.0,all,3.000,1856,32.759,-695.630,0.931,1122.680,3.608,10,-306.250,22,18
ribbon_only_30M,"BB(30,2.0)",2.0,hot8,1.500,954,41.509,-231.685,0.950,444.285,1.855,9,-239.445,13,18
ribbon_only_30M,"BB(30,2.0)",2.0,hot8,2.000,923,34.995,-302.180,0.937,484.970,1.795,9,-232.780,13,18
ribbon_only_30M,"BB(30,2.0)",2.0,hot8,3.000,896,29.688,-686.580,0.863,931.730,1.742,11,-285.260,15,18
ribbon_only_30M,"BB(30,2.0)",2.0,L+NY,1.500,947,44.773,363.475,1.081,247.135,1.842,7,-161.090,11,18
ribbon_only_30M,"BB(30,2.0)",2.0,L+NY,2.000,904,38.053,184.560,1.040,369.060,1.759,6,-157.630,12,18
ribbon_only_30M,"BB(30,2.0)",2.0,L+NY,3.000,873,31.615,-571.660,0.883,830.340,1.698,10,-199.170,15,18
ribbon_4MA_15M,"BB(30,1.5)",none,all,1.500,2505,42.555,-221.905,0.982,774.950,4.865,10,-223.580,16,18
ribbon_4MA_15M,"BB(30,1.5)",none,all,2.000,2352,37.202,-496.840,0.960,1220.260,4.568,10,-456.260,17,18
ribbon_4MA_15M,"BB(30,1.5)",none,all,3.000,2229,31.718,-1223.270,0.901,1688.450,4.329,13,-530.100,18,18
ribbon_4MA_15M,"BB(30,1.5)",none,hot8,1.500,1293,43.078,187.385,1.030,463.915,2.512,7,-209.845,9,18
ribbon_4MA_15M,"BB(30,1.5)",none,hot8,2.000,1225,36.408,-326.470,0.949,798.370,2.379,7,-322.800,12,18
