ma_combo,pattern,rr,sl_buf,trades,win_rate,tp_rate,sl_rate,net_pts,avg_trade_pts,profit_factor,max_dd_pts,trades_per_day,p1_share,p2_share,mode,sl_method
ribbon_ema55_ema100,P1,2.000,3.000,779,34.660,34.403,64.827,-231.617,-0.297,0.939,654.372,7.711,100.000,0.000,m1,ema21
ribbon_ema55_ema100,both,1.000,3.000,1103,50.952,51.043,48.957,-264.658,-0.240,0.935,628.285,10.915,76.700,23.300,m1,ema21
ribbon_ema100,both,1.000,3.000,1103,50.952,51.043,48.957,-264.658,-0.240,0.935,628.285,10.915,76.700,23.300,m1,ema21
ribbon_only,both,1.500,3.000,971,40.680,40.474,58.908,-275.171,-0.283,0.939,662.317,9.606,76.725,23.275,m1,ema21
ribbon_only,P1,2.000,2.000,865,34.682,34.566,65.087,-277.654,-0.321,0.926,623.948,8.563,100.000,0.000,m1,ema21
ribbon_ema55_ema100,P1,2.000,2.000,846,34.634,34.634,65.130,-285.842,-0.338,0.920,656.361,8.375,100.000,0.000,m1,ema21
ribbon_ema100,P1,2.000,2.000,846,34.634,34.634,65.130,-285.842,-0.338,0.920,656.361,8.375,100.000,0.000,m1,ema21
ribbon_ema55,both,1.500,3.000,960,40.938,40.729,58.646,-288.513,-0.301,0.935,687.608,9.497,75.312,24.688,m1,ema21
ribbon_ema55_ema100,both,1.000,2.000,1170,49.316,49.573,50.427,-299.929,-0.256,0.920,540.590,11.578,76.239,23.761,m1,ema21
ribbon_ema100,both,1.000,2.000,1170,49.316,49.573,50.427,-299.929,-0.256,0.920,540.590,11.578,76.239,23.761,m1,ema21
ribbon_ema55,both,1.000,2.000,1176,49.150,49.235,50.765,-323.048,-0.275,0.917,538.637,11.638,76.190,23.810,m1,ema21
ribbon_ema55,both,1.000,3.000,1109,50.316,50.406,49.594,-339.707,-0.306,0.920,672.890,10.974,76.736,23.264,m1,ema21
ribbon_ema55,P1,2.000,2.000,846,34.279,34.161,65.485,-341.847,-0.404,0.908,678.530,8.375,100.000,0.000,m1,ema21
ribbon_only,both,1.000,2.000,1190,49.160,49.244,50.756,-349.191,-0.293,0.912,562.328,11.776,77.647,22.353,m1,ema21
