Etc/UTC,Open,High,Low,Close,Volume
2026-05-29T04:38:00+00:00,4509.805,4509.885,4508.205,4508.615,19110
2026-05-29T04:39:00+00:00,4508.615,4509.565,4508.335,4509.525,12040
2026-05-29T04:40:00+00:00,4509.545,4509.735,4508.885,4509.655,17970
2026-05-29T04:41:00+00:00,4509.708,4510.115,4508.815,4508.975,21300
2026-05-29T04:42:00+00:00,4508.925,4509.735,4508.925,4509.405,14850
2026-05-29T04:43:00+00:00,4509.415,4510.625,4509.205,4510.525,18450
2026-05-29T04:44:00+00:00,4510.545,4510.545,4509.758,4510.445,12960
2026-05-29T04:45:00+00:00,4510.505,4510.775,4508.815,4509.045,16680
2026-05-29T04:46:00+00:00,4508.995,4509.555,4508.395,4509.265,12780
2026-05-29T04:47:00+00:00,4509.245,4509.495,4508.515,4509.205,11010
2026-05-29T04:48:00+00:00,4509.285,4509.605,4508.095,4509.355,15240
2026-05-29T04:49:00+00:00,4509.305,4509.605,4508.865,4508.995,14280
2026-05-29T04:50:00+00:00,4509.085,4509.365,4508.105,4509.315,16560
2026-05-29T04:51:00+00:00,4509.365,4509.765,4508.585,4509.065,13920
2026-05-29T04:52:00+00:00,4508.985,4509.215,4507.815,4508.705,12780
2026-05-29T04:53:00+00:00,4508.795,4510.045,4508.305,4509.665,17040
2026-05-29T04:54:00+00:00,4509.685,4509.775,4508.875,4509.095,13620
2026-05-29T04:55:00+00:00,4509.065,4509.985,4508.505,4509.145,15840
2026-05-29T04:56:00+00:00,4509.015,4512.465,4508.835,4512.435,15720
2026-05-29T04:57:00+00:00,4512.395,4514.675,4512.155,4513.805,22230
2026-05-29T04:58:00+00:00,4513.835,4514.325,4513.325,4513.515,16950
2026-05-29T04:59:00+00:00,4513.585,4513.905,4513.075,4513.905,12690
2026-05-29T05:00:00+00:00,4513.845,4515.265,4511.935,4512.145,23970
2026-05-29T05:01:00+00:00,4511.815,4512.195,4511.365,4511.465,16920
2026-05-29T05:02:00+00:00,4511.065,4511.405,4510.555,4511.115,13380
2026-05-29T05:03:00+00:00,4511.145,4511.205,4509.775,4510.565,15720
2026-05-29T05:04:00+00:00,4510.675,4510.675,4509.435,4509.625,12390
