ma_combo,pattern,rr,sl_buf,trades,win_rate,tp_rate,sl_rate,net_pts,avg_trade_pts,profit_factor,max_dd_pts,trades_per_day,p1_share,p2_share,mode,sl_method
ribbon_ema55_ema100,P1,3.000,3.000,854,30.796,17.330,64.988,-611.360,-0.716,0.915,912.500,8.447,100.000,0.000,m1,swing3m
ribbon_only,P1,1.000,2.000,1418,49.929,47.673,46.333,-611.770,-0.431,0.931,883.710,14.025,100.000,0.000,m1,swing3m
ribbon_ema100,both,5.000,2.000,839,26.103,8.701,70.083,-624.630,-0.744,0.909,866.760,8.298,75.805,24.195,m1,swing3m
ribbon_ema55_ema100,both,5.000,2.000,839,26.103,8.701,70.083,-624.630,-0.744,0.909,866.760,8.298,75.805,24.195,m1,swing3m
ribbon_only,both,2.000,2.000,1021,36.239,27.228,58.178,-625.520,-0.613,0.923,1027.860,10.098,80.118,19.882,m1,swing3m
ribbon_ema55,both,2.000,3.000,960,35.417,26.354,58.958,-626.600,-0.653,0.923,941.080,9.495,78.958,21.042,m1,swing3m
ribbon_only,both,1.500,2.000,1161,40.741,34.884,54.177,-644.020,-0.555,0.925,1004.010,11.483,80.534,19.466,m1,swing3m
ribbon_only,P1,1.500,3.000,1064,40.414,34.211,54.135,-652.980,-0.614,0.921,1029.560,10.524,100.000,0.000,m1,swing3m
ribbon_only,P1,1.000,3.000,1303,48.810,46.124,46.662,-658.000,-0.505,0.926,846.660,12.887,100.000,0.000,m1,swing3m
ribbon_ema100,both,3.000,2.000,924,29.870,17.532,66.558,-682.360,-0.738,0.908,1057.290,9.139,76.515,23.485,m1,swing3m
ribbon_ema55_ema100,both,3.000,2.000,924,29.870,17.532,66.558,-682.360,-0.738,0.908,1057.290,9.139,76.515,23.485,m1,swing3m
ribbon_ema100,both,3.000,3.000,855,30.643,16.842,65.263,-689.880,-0.807,0.906,889.320,8.456,77.778,22.222,m1,swing3m
ribbon_ema100,P1,4.000,3.000,801,28.090,11.236,66.916,-690.430,-0.862,0.899,983.400,7.922,100.000,0.000,m1,swing3m
ribbon_ema100,P1,5.000,2.000,831,25.872,8.785,70.397,-690.610,-0.831,0.894,905.260,8.219,100.000,0.000,m1,swing3m
ribbon_ema55_ema100,P1,5.000,2.000,831,25.872,8.785,70.397,-690.610,-0.831,0.894,905.260,8.219,100.000,0.000,m1,swing3m
ribbon_ema100,P1,5.000,3.000,780,26.795,8.077,68.718,-690.750,-0.886,0.896,921.720,7.715,100.000,0.000,m1,swing3m
ribbon_ema55_ema100,both,3.000,3.000,855,30.643,16.842,65.263,-695.200,-0.813,0.906,894.640,8.456,77.778,22.222,m1,swing3m
ribbon_ema55_ema100,P1,4.000,3.000,801,28.090,11.236,66.916,-695.750,-0.869,0.898,983.400,7.922,100.000,0.000,m1,swing3m
ribbon_ema55_ema100,P1,5.000,3.000,780,26.795,8.077,68.718,-696.070,-0.892,0.895,927.040,7.715,100.000,0.000,m1,swing3m
ribbon_ema55_ema100,P1,3.000,2.000,900,29.889,17.667,66.333,-704.910,-0.783,0.901,994.620,8.901,100.000,0.000,m1,swing3m
ribbon_ema100,P1,3.000,2.000,900,29.889,17.667,66.333,-704.910,-0.783,0.901,994.620,8.901,100.000,0.000,m1,swing3m
ribbon_ema55,P1,1.500,3.000,1068,40.356,34.363,54.588,-705.755,-0.661,0.916,1040.750,10.563,100.000,0.000,m1,swing3m
ribbon_ema55,both,1.000,2.000,1488,49.866,47.782,46.841,-737.130,-0.495,0.922,939.570,14.717,80.712,19.288,m1,swing3m
ribbon_only,both,1.000,3.000,1335,49.064,46.292,46.592,-737.260,-0.552,0.921,841.430,13.204,82.322,17.678,m1,swing3m
ribbon_ema55,P1,2.000,2.000,1025,34.634,27.024,60.195,-741.830,-0.724,0.908,961.900,10.138,100.000,0.000,m1,swing3m
ribbon_ema55,P1,1.000,3.000,1307,48.967,46.519,46.748,-747.720,-0.572,0.916,939.000,12.927,100.000,0.000,m1,swing3m
ribbon_ema55,P1,1.000,2.000,1439,49.826,47.811,46.769,-755.860,-0.525,0.915,937.600,14.232,100.000,0.000,m1,swing3m
ribbon_ema55,both,1.500,2.000,1188,40.236,35.185,55.135,-773.000,-0.651,0.913,1014.695,11.750,79.293,20.707,m1,swing3m
ribbon_ema55_ema100,both,1.500,3.000,1087,40.478,34.867,54.738,-781.535,-0.719,0.910,1138.785,10.751,78.473,21.527,m1,swing3m
